cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchi,smiles,inchikey,iupacname,exactmass,monoisotopicmass,charge,covalentunitcnt,isotopeatomcnt,totalatomstereocnt,definedatomstereocnt,undefinedatomstereocnt,totalbondstereocnt,definedbondstereocnt,undefinedbondstereocnt,pclidcnt,gpidcnt,gpfamilycnt,meshheadings,annothits,annothitcnt,aids,cidcdate,sidsrcname,depcatg,annotation
111720,"1H-Azepine, 1-(2,5-diethoxy-4-nitrophenyl)hexahydro-","1H-Azepine, 1-(2,5-diethoxy-4-nitrophenyl)hexahydro-|68901-03-1|4-Hexamethyleneimino-2,5-diethoxynitrobenzene|DTXSID2071817|SCHEMBL6219907|DTXCID5046304|ZHCOSGIWOWHIHV-UHFFFAOYSA-N",308.37,C16H24N2O4,67.5,340,3.8,22,0,5,5,"InChI=1S/C16H24N2O4/c1-3-21-15-12-14(18(19)20)16(22-4-2)11-13(15)17-9-7-5-6-8-10-17/h11-12H,3-10H2,1-2H3",CCOC1=CC(=C(C=C1N2CCCCCC2)OCC)[N+](=O)[O-],ZHCOSGIWOWHIHV-UHFFFAOYSA-N,"1-(2,5-diethoxy-4-nitrophenyl)azepane",308.174,308.174,0,1,0,0,0,0,0,0,0,0,1,1,,Classification|Patents|Use and Manufacturing,3,,20050808,"AAA Chemistry|ABI Chem|ChemIDplus|ChemSpider|EPA DSSTox|EPA Substance Registry Services|Japan Chemical Substance Dictionary (Nikkaji)|MolGenie|NextBio|PATENTSCOPE (WIPO)|PubChem Reference Collection|RR Scientific|SureChEMBL|ToxPlanet|Wikidata|ZeroPM - Zero Pollution of Persistent, Mobile Substances",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,
156104,"2-[(5S,7R,9S)-14-hydroxy-9-methoxy-4-methyl-4,10-diazatetracyclo[8.6.1.05,17.011,16]heptadeca-1(17),11(16),12,14-tetraen-7-yl]but-2-enal",,354.4,C21H26N2O3,54.7,565,2.4,26,1,4,3,"InChI=1S/C21H26N2O3/c1-4-13(12-24)14-9-19-21-16(7-8-22(19)2)17-11-15(25)5-6-18(17)23(21)20(10-14)26-3/h4-6,11-12,14,19-20,25H,7-10H2,1-3H3/t14-,19+,20+/m1/s1",CC=C(C=O)[C@@H]1C[C@H]2C3=C(CCN2C)C4=C(N3[C@H](C1)OC)C=CC(=C4)O,KQIJOWWBWNZTPC-UAOJZALGSA-N,"2-[(5S,7R,9S)-14-hydroxy-9-methoxy-4-methyl-4,10-diazatetracyclo[8.6.1.05,17.011,16]heptadeca-1(17),11(16),12,14-tetraen-7-yl]but-2-enal",354.194,354.194,0,1,0,3,3,0,1,0,1,0,0,0,,,0,,20050808,Cheminformatics Friedrich-Schiller-University Jena,Research and Development,
156521,"2-[(5S,7R,9S)-9,14-dihydroxy-4-methyl-4,10-diazatetracyclo[8.6.1.05,17.011,16]heptadeca-1(17),11(16),12,14-tetraen-7-yl]but-2-enal",,340.4,C20H24N2O3,65.7,551,1.8,25,2,4,2,"InChI=1S/C20H24N2O3/c1-3-12(11-23)13-8-18-20-15(6-7-21(18)2)16-10-14(24)4-5-17(16)22(20)19(25)9-13/h3-5,10-11,13,18-19,24-25H,6-9H2,1-2H3/t13-,18+,19+/m1/s1",CC=C(C=O)[C@@H]1C[C@H]2C3=C(CCN2C)C4=C(N3[C@H](C1)O)C=CC(=C4)O,AIENSZLGKYKXFJ-VMDGZTHMSA-N,"2-[(5S,7R,9S)-9,14-dihydroxy-4-methyl-4,10-diazatetracyclo[8.6.1.05,17.011,16]heptadeca-1(17),11(16),12,14-tetraen-7-yl]but-2-enal",340.179,340.179,0,1,0,3,3,0,1,0,1,0,0,0,,,0,,20050808,Cheminformatics Friedrich-Schiller-University Jena,Research and Development,
156625,Akagerinelactone,"Akagerinelactone|75667-85-5|2(5H)-Furanone, 3-((3aS,5R,7S)-1,2,3,3a,4,5,6,7-octahydro-7-hydroxy-3-methyl-3,7a-diazacyclohepta(jk)fluoren-5-yl)-|4-[(5S,7R,9S)-9-Hydroxy-4-methyl-4,10-diazatetracyclo[8.6.1.05,17.011,16]heptadeca-1(17),11,13,15-tetraen-7-yl]-2H-furan-5-one|DTXSID80997106|3-(7-Hydroxy-3-methyl-1,2,3,3a,4,5,6,7-octahydro-3,7a-diazacyclohepta[1,2,3-jk]fluoren-5-yl)furan-2(5H)-one",338.4,C20H22N2O3,54.7,591,1.9,25,1,4,1,"InChI=1S/C20H22N2O3/c1-21-8-6-15-14-4-2-3-5-16(14)22-18(23)11-12(10-17(21)19(15)22)13-7-9-25-20(13)24/h2-5,7,12,17-18,23H,6,8-11H2,1H3/t12-,17+,18+/m1/s1",CN1CCC2=C3[C@@H]1C[C@H](C[C@@H](N3C4=CC=CC=C24)O)C5=CCOC5=O,AQBARWNUNIQGJG-UUWFMWQGSA-N,"4-[(5S,7R,9S)-9-hydroxy-4-methyl-4,10-diazatetracyclo[8.6.1.05,17.011,16]heptadeca-1(17),11,13,15-tetraen-7-yl]-2H-furan-5-one",338.163,338.163,0,1,0,3,3,0,0,0,0,0,0,0,,Classification|Spectral Information,2,,20050808,"ABI Chem|BenchChem|ChemIDplus|Cheminformatics Friedrich-Schiller-University Jena|ChemSpider|EPA DSSTox|EvitaChem|InvivoChem|J&H Chemical Co.,ltd|Japan Chemical Substance Dictionary (Nikkaji)|Mcule|NextBio|PubChem Reference Collection|RR Scientific|Smolecule|THE BioTek|ToxPlanet",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,
373415,"Pyrido[4',3':5,6]azepino[3,2,1-kl]phenothiazin-15(5H)-one","NSC649675|Pyrido[4',3':5,6]azepino[3,2,1-kl]phenothiazin-15(5H)-one|CHEMBL1979861|NSC-649675|NCI60_017337",316.4,C19H12N2OS,58.5,484,3.6,23,0,3,0,"InChI=1S/C19H12N2OS/c22-19-14-11-20-9-8-12(14)10-13-4-3-7-17-18(13)21(19)15-5-1-2-6-16(15)23-17/h1-9,11H,10H2",C1C2=C3C(=CC=C2)SC4=CC=CC=C4N3C(=O)C5=C1C=CN=C5,AFURCCGPBRWDMB-UHFFFAOYSA-N,"8-thia-1,18-diazapentacyclo[11.8.1.02,7.09,22.015,20]docosa-2,4,6,9,11,13(22),15(20),16,18-nonaen-21-one",316.067,316.067,0,1,0,0,0,0,0,0,0,0,0,0,,Biological Test Results|Classification,2,1|5|9|13|15|17|19|23|25|27|29|31|33|35|37|39|45|47|49|51|53|55|59|61|63|65|67|69|71|73|75|77|79|81|99|101|105|113|115|119|121|123|125|129|131|133|135|137|139|145|155|157|161|165|167|175|179|1963987,20050326,ABI Chem|ChemBank|ChEMBL|ChemDB|ChemSpider|ChemTik|DiscoveryGate|DTP/NCI|MolGenie|NextBio|NIAID ChemDB,Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,
506121,"(3R,4R,5S)-4-acetamido-5-amino-3-[(2R)-2-(hydroxymethyl)azepan-1-yl]cyclohexene-1-carboxylic acid","CHEMBL25549|BDBM5263|(3R,4R,5S)-4-acetamido-5-amino-3-[(2R)-2-(hydroxymethyl)azepan-1-yl]cyclohexene-1-carboxylic acid|(3R,4R,5S)-5-amino-4-acetamido-3-[(2R)-2-(hydroxymethyl)azepan-1-yl]cyclohex-1-ene-1-carboxylic acid|1-Cyclohexene-1-carboxylic acid, 4-(acetylamino)-5-amino-3-[(2R)-hexahydro-2-(hydroxymethyl)-1H-azepin-1-yl]-, (3R,4R,5S)-",325.4,C16H27N3O4,116,480,-3,23,4,6,4,"InChI=1S/C16H27N3O4/c1-10(21)18-15-13(17)7-11(16(22)23)8-14(15)19-6-4-2-3-5-12(19)9-20/h8,12-15,20H,2-7,9,17H2,1H3,(H,18,21)(H,22,23)/t12-,13+,14-,15-/m1/s1",CC(=O)N[C@@H]1[C@H](CC(=C[C@H]1N2CCCCC[C@@H]2CO)C(=O)O)N,IIIHFJUFPWPHFQ-LXTVHRRPSA-N,"(3R,4R,5S)-4-acetamido-5-amino-3-[(2R)-2-(hydroxymethyl)azepan-1-yl]cyclohexene-1-carboxylic acid",325.2,325.2,0,1,0,4,4,0,0,0,0,1,0,0,,Biological Test Results|Interactions and Pathways|Classification|Literature|Biological Test Results: Active|Biological Test Results: Micromolar,6,147322|147325|1795761,20050801,ABI Chem|BindingDB|ChEMBL|ChemSpider|Japan Chemical Substance Dictionary (Nikkaji)|MolGenie|NextBio|NIAID ChemDB|Thomson Pharma,Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,
579148,"3-Nitro-4-(1,3,3-trimethyl-6-azabicyclo[3.2.1]oct-6-yl)benzoic acid","3-nitro-4-(1,3,3-trimethyl-6-azabicyclo[3.2.1]oct-6-yl)benzoic acid|447413-51-6|3-nitro-4-(1,3,3-trimethyl-6-azabicyclo[3.2.1]octan-6-yl)benzoic acid|Oprea1_658565|KYQBVAJBHJTDDX-UHFFFAOYSA-N|STK663448|3-Nitro-4-(1,3,3-trimethyl-6-aza-bicyclo[3.2.1]oct-6-yl)-benzoic acid|AKOS001754488|AKOS016347507|CS-0323123|EU-0086216|SR-01000251830|SR-01000251830-1",318.4,C17H22N2O4,86.4,515,3.9,23,1,5,2,"InChI=1S/C17H22N2O4/c1-16(2)7-12-8-17(3,9-16)10-18(12)13-5-4-11(15(20)21)6-14(13)19(22)23/h4-6,12H,7-10H2,1-3H3,(H,20,21)",CC1(CC2CC(C1)(CN2C3=C(C=C(C=C3)C(=O)O)[N+](=O)[O-])C)C,KYQBVAJBHJTDDX-UHFFFAOYSA-N,"3-nitro-4-(1,3,3-trimethyl-6-azabicyclo[3.2.1]octan-6-yl)benzoic acid",318.158,318.158,0,1,0,2,0,2,0,0,0,2,0,0,,Biological Test Results|Literature|Spectral Information|Biological Test Results: Active,4,422|1259310|1259374|1259422|1508602|1671202|1794808,20050327,"A2B Chem|AA BLOCKS|AbaChemScene|ABI Chem|AKos Consulting & Solutions|Amadis Chemical|Angene Chemical|BenchChem|BLD Pharm|Chem-Space.com Database|ChemBank|ChemBlock|ChemBridge|ChemDB|ChemDiv|ChemSpider|ChemTik|Collaborative Drug Discovery, Inc.|DiscoveryGate|Emory University Molecular Libraries Screening Center|Hairui Chemical|Mcule|MolPort|NextBio|NIST Mass Spectrometry Data Center|The Scripps Research Institute Molecular Screening Center|TimTec|University of Kansas High Throughput Screening Laboratory|Vitas-M Laboratory",Chemical Vendors|Governmental Organizations|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,
603844,"3-(7-Hydroxy-3-methyl-1,2,3,3a,4,5,6,7-octahydro-3,7a-diazacyclohepta[jk]fluoren-6-yl)-2(5H)-furanone","3-(7-Hydroxy-3-methyl-1,2,3,3a,4,5,6,7-octahydro-3,7a-diazacyclohepta[jk]fluoren-6-yl)-2(5H)-furanone #",338.4,C20H22N2O3,54.7,591,1.9,25,1,4,1,"InChI=1S/C20H22N2O3/c1-21-10-8-13-12-4-2-3-5-16(12)22-18(13)17(21)7-6-14(19(22)23)15-9-11-25-20(15)24/h2-5,9,14,17,19,23H,6-8,10-11H2,1H3",CN1CCC2=C3C1CCC(C(N3C4=CC=CC=C24)O)C5=CCOC5=O,UVZHFSMKOJMGIY-UHFFFAOYSA-N,"4-(9-hydroxy-4-methyl-4,10-diazatetracyclo[8.6.1.05,17.011,16]heptadeca-1(17),11,13,15-tetraen-8-yl)-2H-furan-5-one",338.163,338.163,0,1,0,3,0,3,0,0,0,0,0,0,,Spectral Information,1,,20050327,ABI Chem|ChemSpider|NextBio|NIST Mass Spectrometry Data Center,Chemical Vendors|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,
608522,"2-(9,14-Dihydroxy-4-methyl-4,10-diazatetracyclo[8.6.1.05,17.011,16]heptadeca-1(17),11(16),12,14-tetraen-7-yl)but-2-enal",,340.4,C20H24N2O3,65.7,551,1.8,25,2,4,2,"InChI=1S/C20H24N2O3/c1-3-12(11-23)13-8-18-20-15(6-7-21(18)2)16-10-14(24)4-5-17(16)22(20)19(25)9-13/h3-5,10-11,13,18-19,24-25H,6-9H2,1-2H3",CC=C(C=O)C1CC2C3=C(CCN2C)C4=C(N3C(C1)O)C=CC(=C4)O,AIENSZLGKYKXFJ-UHFFFAOYSA-N,"2-(9,14-dihydroxy-4-methyl-4,10-diazatetracyclo[8.6.1.05,17.011,16]heptadeca-1(17),11(16),12,14-tetraen-7-yl)but-2-enal",340.179,340.179,0,1,0,3,0,3,1,0,1,0,0,0,,,0,,20050327,Cheminformatics Friedrich-Schiller-University Jena|Wikidata,Curation Efforts|Research and Development,
618980,4-(azepan-1-yl)-N-(4-chlorophenyl)-3-nitrobenzamide,4-(azepan-1-yl)-N-(4-chlorophenyl)-3-nitrobenzamide|ZINC04333149|CBMicro_005176|Oprea1_576037|4-Azepan-1-yl-N-(4-chloro-phenyl)-3-nitro-benzamide|HPSWYEHTHPHVHK-UHFFFAOYSA-N|SMSF0012535|STK762831|AKOS000541515|CB07231|BIM-0005260.P001|AG-205/15425137|SR-01000435794|SR-01000435794-1|4-(1-Azepanyl)-N-(4-chlorophenyl)-3-nitrobenzamide #,373.8,C19H20ClN3O3,78.2,483,4.5,26,1,4,3,"InChI=1S/C19H20ClN3O3/c20-15-6-8-16(9-7-15)21-19(24)14-5-10-17(18(13-14)23(25)26)22-11-3-1-2-4-12-22/h5-10,13H,1-4,11-12H2,(H,21,24)",C1CCCN(CC1)C2=C(C=C(C=C2)C(=O)NC3=CC=C(C=C3)Cl)[N+](=O)[O-],HPSWYEHTHPHVHK-UHFFFAOYSA-N,4-(azepan-1-yl)-N-(4-chlorophenyl)-3-nitrobenzamide,373.119,373.119,0,1,0,0,0,0,0,0,0,0,0,0,,Biological Test Results|Spectral Information,2,372|425|521|583|689|1010|1240|1992|687043|720488|1259310|1259374|1259422|1508602,20050327,"Abbott Labs|ABI Chem|AKos Consulting & Solutions|Ambinter|ASINEX|Aurora Fine Chemicals LLC|Burnham Center for Chemical Genomics|Chem-Space.com Database|ChemBank|ChemBlock|ChemBridge|ChemDB|ChemDiv|ChemSpider|Collaborative Drug Discovery, Inc.|DiscoveryGate|LabNetwork, a WuXi AppTec Company|Mcule|Milwaukee Institute for Drug Discovery|MolPort|MTDP|NextBio|NIST Mass Spectrometry Data Center|Specs|The Scripps Research Institute Molecular Screening Center|Vitas-M Laboratory|ZINC",Chemical Vendors|Governmental Organizations|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,
