SMILES,ACTIVITY
CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(C2)(C(=O)OC)O,1
CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4[C@](C2)(C(=O)OC)O,1
C1CCN(CC1)C2=C3C=CC=NC3=C4C(=C2)C(=O)C5=CC=CC=C5C4=O,1
C1CCN(CC1)C2=CC=C(C3=NON=C23)S(=O)(=O)C4=CC=CC=C4,1
C1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])S(=O)(=O)C4=CC=CC=C4,1
CC1=CC(=C(C=C1)N2C(=O)C3=C4C(=C(C=C3)N)C=CC=C4C2=O)C,1
COC1=C(C=C(C=C1)[N+]2=CC3=C(C=CNC3=O)C4=CC=CC=C42)OC,1
CC[C@@]12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4[C@](C2)(C(=O)OC)O,1
CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4[C@](C2)(C(=O)O)O,1
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@@H](NC(C)=O)CCC2)C=C(C(O)=O)C1,1
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@@H](NS(C)(=O)=O)CCC2)C=C(C(O)=O)C1,1
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@H](NS(C)(=O)=O)CCC2)C=C(C(O)=O)C1,1
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@@H](OC(NC(C)C)=O)CCC2)C=C(C(O)=O)C1,1
O=C(NCC)O[C@@H](CCC1)CN1[C@H]2[C@H](NC(C)=O)[C@@H](NC(N)=N)CC(C(O)=O)=C2,1
O=C(NCC1=CC=CC=C1)O[C@@H](CCC2)CN2[C@H]3[C@H](NC(C)=O)[C@@H](NC(N)=N)CC(C(O)=O)=C3,1
OC(C1=C[C@@H](N2C[C@H](OCC)CCC2)[C@H](NC(C)=O)[C@@H](NC(N)=N)C1)=O,1
OC(C1=C[C@@H](N2C[C@H](NS(C)(=O)=O)CCC2)[C@H](NC(C)=O)[C@@H](NC(N)=N)C1)=O,1
OC(C1=C[C@@H](N2C[C@@H](NC(OC)=O)CCC2)[C@H](NC(C)=O)[C@@H](NC(N)=N)C1)=O,1
OC(C1=C[C@@H](N2C[C@@H](NS(C3=CC=C(C)C=C3)(=O)=O)CCC2)[C@H](NC(C)=O)[C@@H](NC(N)=N)C1)=O,1
OC(C1=C[C@@H](N2C[C@@H](NS(=O)(CCC)=O)CCC2)[C@H](NC(C)=O)[C@@H](NC(N)=N)C1)=O,1
NC(N[C@@H]1[C@@H](NC(C)=O)[C@H](N2CC(COC)CCC2)C=C(C(O)=O)C1)=N,1
C1CCN(CC1)C2=C(C=C(C=C2)S(=O)(=O)C3=CC(=C(C=C3)N4CCCCC4)N)N,1
C1CCC2(CC1)CCN(CC2)C3=CC=C(C=C3)C=NNC(=O)C4=CN=CC=C4,1
CCOC(=O)C1=CC2=C(C=C1)N3C(=N2)C4=CC=CC5=C4C(=CC=C5)C3=O,1
CCOC(=O)C1=CC=C(C=C1)N2C(=O)C3=CC=CC4=C3C(=CC=C4)C2=O,1
C1CN(CCC1O)C2=CC=C(C=C2)C(=O)CCCN3CCC(CC3)(C4=CC=C(C=C4)Cl)O,1
CC(=O)C1=C2C=CC=C3C2=C(C=C1)C(=O)N4C3=NC5=CC=CC=C54,1
C1CCC2(CC1)CC(=O)N(C(=O)C2)C3=CC(=C(C=C3)O)CN4CCCCC4,1
C1CN(CCC1C(=O)NCC2=CC=CC=C2)C3=CC=C(C=C3)[N+](=O)[O-],1
CC1CCCC(C1=O)C(CC2CC(=O)N(C(=O)C2)C3=CC=CC=C3)O,1
CC1CCC(=O)C(C1)C(CC2CC(=O)N(C(=O)C2)C3=CC=CC=C3)O,1
CC1CC(C(C(=O)C1)C(CC2CC(=O)N(C(=O)C2)C3=CC=CC=C3)O)C,1
CC(C)(C)C1CCC(=O)C(C1)C(CC2CC(=O)N(C(=O)C2)C3=CC=CC=C3)O,1
COC(=O)C(=O)C1=C2C3=C(C=CN2C4=CC=CC=C41)C5=CC=CC=C5N3,1
COC(=O)CC1C2C3=C(CC(=O)N2C4=CC=CC=C14)C5=CC=CC=C5N3,1
C1=CC=C2C(=C1)N=C3N2C4=C(C=C(C=C4)[N+](=O)[O-])C(=C3C#N)Cl,1
C1CC2CCN3C4=CC=CC=C4C=C3C25N(C1)C(=O)CS5=O,1
C1=CC=C2C(=C1)C(=O)C(=O)N(C2=O)C3=CC(=CC(=C3)Cl)Cl,1
CCCCC1CC2=C(C=CC(=C2)O)C3=NC4=C(N13)C=CC(=C4)O,1
C1CC(CN(C1)C2=CC=C(C=C2)C3=NCCN3)CC4=CC=C(C=C4)C5=NCCN5,1
C1CCC(=O)C(C1)C(CC2CC(=O)N(C(=O)C2)C3=CC=CC=C3)O,1
CC(C)(C)C1CCC(C(C1)C(CC2CC(=O)N(C(=O)C2)C3=CC=CC=C3)O)O,1
C1CN(CCC1O)C2=C(C=C(C(=C2)C(=O)NC3=CC4=C(C=C3)NN=C4)F)F,1
C1CN(CCC1O)C2=C(C=C(C(=C2)C(=O)NC3=CC4=C(C=C3)C=NN4)F)F,1
CC(=O)N[C@@H]1[C@H](CC(=C[C@H]1N2C3CCCC2CC3)C(=O)O)N,1
CCN(CC)CC(COC1=C(C=CC(=C1)[N+](=O)[O-])N2CCCC(C2)CC3=CC=CC=C3)O,1
C1C2=C3C(=CC=C2)SC4=CC=CC=C4N3C(=O)C5=C1C=CN=C5,1
C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)N(C2=O)C4=CC=C(C=C4)C(=O)O,1
C1OC2=C(O1)C=C(C=C2)N3C(=O)C4=CC=CC=C4C5=CC=CC=C5C3=O,1
CC(=O)C1=CC(=CC=C1)N2C(=O)C3=CC=CC=C3C4=CC=CC=C4C2=O,1
C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)N(C2=O)C4=CC=CC(=C4)C(=O)O,1
CC(=O)C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3C4=CC=CC=C4C2=O,1
C1CCN(CC1)C2=CC=C(C=C2)NC(=O)CCN3C(=O)CCC3=O,1
CC(=O)N1CCN(CC1)C2=C(C(=CC(=C2)[N+](=O)[O-])F)N3CCCCC3,1
C1CCN(CC1)C2=C(C=CC3=C2C(=NC(=N3)N)N)S(=O)(=O)C4=CC=CC=C4,1
CC(=O)C1=C2C=CC=C3C2=C(C=C1)C4=NC5=CC=CC=C5N4C3=O,1
CC1=C(C2=NC3=CC=CC=C3N2C(=C1)NC4=CC=C(C=C4)O)C#N,1
CC(=O)NC1=CC=C(C=C1)N2C(=O)CC(CC2=O)C3=CC=CC=C3,1
C1CCN(CC1)C2=CC=CC=C2NC(=O)C3=C(OC=N3)C4=CC=C(C=C4)F,1
CC1=C(C2=NC3=CC=CC=C3N2C(=C1)N4CCN(CC4)C5=CC=CC=N5)C#N,1
C1CCN(CC1)C2=CC=CC=C2NC(=O)C3=CC4=NC=CN=C4C=C3,1
CC1=C(C=C(C=C1)N2C(=NN=N2)SCC(=O)NC3=CC=CC=C3N4CCCCC4)C,1
CN1C(=NN=N1)SCC(=O)NC2=CC=CC=C2N3CCCCC3,1
CC1=C(C=CO1)C2=NN=C(N2C)SCC(=O)NC3=CC=CC=C3N4CCCCC4,1
CC1(OC(=O)C2(CC3=CC=CC=C3N4C2CCCC4)C(=O)O1)C,1
C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)C4=CC=C(C=C4)OCC(=O)O,1
CC1=C(C2=NC3=CC=CC=C3N2C(=C1CCC(=O)NN)C)C#N,1
C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)C4=CC5=C(C=C4)NC(=O)N5,1
C1=CC=C(C(=C1)C(=O)O)N2C(=O)C3=CC=CC4=C3C(=CC=C4)C2=O,1
COC1=CC(=C(C=C1)OC)N2C(=O)C3=CC=CC4=C3C(=CC=C4)C2=O,1
C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)C4=CC(=C(C=C4)F)[N+](=O)[O-],1
C1OC2=C(O1)C=C(C=C2)N3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O,1
C1CC2=C(C3=NC4=CC=CC=C4N3C(=C2C1)NCC5=CN=CC=C5)C#N,1
C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)C4=CC(=CC=C4)[N+](=O)[O-],1
C1CCN(CC1)C2=CC=C(C=C2)N=C3C4=CC=CC=C4C(=N3)N,1
C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)N(C2=O)C4=CC=C(C=C4)[N+](=O)[O-],1
CC(=O)NC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3C4=CC=CC=C4C2=O,1
CC1=C(C=CC=C1N2C(=O)C3=CC=CC=C3C4=CC=CC=C4C2=O)C(=O)O,1
COC(=O)C1=CC(=CC=C1)N2C(=O)C3=CC=CC=C3C4=CC=CC=C4C2=O,1
CC1=CC=C(C=C1)N2C(=O)C3=C4C(=C(C=C3)C(=O)O)C=CC=C4C2=O,1
CC(=O)NC1=CC=C(C=C1)N2C(=O)C3=CC=CC4=C3C(=CC=C4)C2=O,1
C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)C4=CC=C(C=C4)C(=O)O,1
C[C@@H]1CN(C[C@@H](O1)C)C2=CC(=C(C3=NC4=CC=CC=C4N23)C#N)C,1
C[C@H]1CN(C[C@@H](O1)C)C2=CC(=C(C3=NC4=CC=CC=C4N23)C#N)C,1
COC1=CC=C(C=C1)N2C(=O)C3=C4C(=C(C=C3)[N+](=O)[O-])C=CC=C4C2=O,1
C1CCN(CC1)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=CC=C3,1
C1=CC=C2C(=C1)NC(=N2)C3=C(N4C5=CC=CC=C5N=C4C(=C3)C#N)N,1
C1CCN(CC1)C2=CC=C(C=C2)S(=O)(=O)NCC3=CC=CC=C3,1
CC1=CC(=CC=C1)N2C(=O)C3=C4C(=C(C=C3)[N+](=O)[O-])C=CC=C4C2=O,1
CC1=C(C2=NC3=CC=CC=C3N2C(=C1)N4C=NC5=CC=CC=C54)C#N,1
CC1=NC=CN1C2=C3CCCC3=C(C4=NC5=CC=CC=C5N24)C#N,1
C[C@@H]1CN(C[C@@H](O1)C)C2=C3CCCC3=C(C4=NC5=CC=CC=C5N24)C#N,1
C[C@@H]1CN(C[C@H](O1)C)C2=C3CCCC3=C(C4=NC5=CC=CC=C5N24)C#N,1
C1CC2=C(C3=NC4=CC=CC=C4N3C(=C2C1)NC5=CC=NC=C5)C#N,1
C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)C4=CC=CC(=C4)C(=O)O,1
CC1=CC=C(C=C1)N2C(=O)C3=C4C(=C(C=C3)[N+](=O)[O-])C=CC=C4C2=O,1
CC1=CC(=CC=C1)N2C(=O)C3=C4C(=C(C=C3)N)C=CC=C4C2=O,1
C1=CC2=C(C=CC3=C2C(=C1)C(=O)N(C3=O)C4=CC=C(C=C4)O)[N+](=O)[O-],1
CC(=O)C1=C2C=CC=C3C2=C(C=C1)C(=O)N(C3=O)C4=CC=CC=C4,1
CC1=NC2=NN=NN2C(=C1)NC3=CC=C(C=C3)N4CCCCC4,1
C1=CC2=C3C(=C1)C4=NC5=C(N4C(=O)C3=CC=C2)C=CC(=C5)[N+](=O)[O-],1
CC[C@H](C)NC(=O)C1=C(C=CC(=C1)NC(=O)N(C)C)N2CCCCC2,1
COC1=C(C=C(C=C1)N2C(=O)C3=CC=CC4=C3C(=CC=C4)C2=O)OC,1
C1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-],1
C1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC4=C(C=C3)OCCO4,1
C1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC4=CC=CC=C4OC3=O,1
C1=CC=C2C(=C1)N=C3N2C(=O)C4=CC(=C(C5=C4C3=CC=C5)[N+](=O)[O-])O,1
C1=CC2=C(C=CC3=C2C(=C1)C(=O)N(C3=O)C4=CC=C(C=C4)O)C(=O)O,1
C1=CC=C2C(=C1)N=C3N2C(=O)C4=CC=CC5=C4C3=CC(=C5N)O,1
C1CCN(CC1)C2=CC=C(C=C2)C=C3C(=O)NN(C3=O)C4=CC=CC=C4,1
C1=CC=C(C(=C1)N2C(=O)C3=C4C(=C(C=C3)Cl)C=CC=C4C2=O)O,1
CC1=C(C2=NC3=CC=CC=C3N2C(=C1)NC4=CC(=CC=C4)[N+](=O)[O-])C#N,1
C1=CC2=CC(=CC3=C2C(=C1)C(=O)N(C3=O)C4=CC(=CC=C4)O)[N+](=O)[O-],1
C1=CC2=CC(=CC3=C2C(=C1)C(=O)N(C3=O)C4=CC=C(C=C4)O)[N+](=O)[O-],1
CC(=O)OC1=CC=CC(=C1)N2C(=O)C3=CC=CC=C3C4=CC=CC=C4C2=O,1
COC1=C(C=CC(=C1)[N+](=O)[O-])N2C(=O)C3=CC=CC=C3C4=CC=CC=C4C2=O,1
C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)N(C2=O)C4=C(C=CC(=C4)[N+](=O)[O-])F,1
CCOC(=O)C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3C4=CC=CC=C4C2=O,1
COC(=O)C1=CC=CC=C1N2C(=O)C3=CC=CC=C3C4=CC=CC=C4C2=O,1
C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)N(C2=O)C4=C(C=CC(=C4)[N+](=O)[O-])Cl,1
CC1=CC=CC=C1N2C(=O)C3=CC=CC4=CC(=CC(=C43)C2=O)[N+](=O)[O-],1
CC1=CC(=CC=C1)N2C(=O)C3=CC=CC4=CC(=CC(=C43)C2=O)[N+](=O)[O-],1
COC1=CC=C(C=C1)N2C(=O)C3=CC=CC4=CC(=CC(=C43)C2=O)[N+](=O)[O-],1
CC1=C(C2=NC3=CC=CC=C3N2C(=C1)NCC4=CN=CC=C4)C#N,1
CC1=C(C2=NC3=CC=CC=C3N2C(=C1)NCC4=CC=NC=C4)C#N,1
C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)C4=CC(=C(C=C4)C(=O)O)O,1
C1=CC=C(C=C1)N2C(=O)C3=CC=CC4=CC(=CC(=C43)C2=O)[N+](=O)[O-],1
CC1=C(C2=NC3=CC=CC=C3N2C(=C1)NC4=CC5=C(C=C4)OCO5)C#N,1
COC1=CC(=C(C=C1)N2C(=O)C3=CC=CC4=C3C(=CC=C4)C2=O)OC,1
C1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3)C(=O)N,1
C1CCN(CC1)C2=C(C=C(C=C2)C(=O)N)N3C(=O)C4=CC=CC=C4C3=O,1
CC1=CC=C(C=C1)N2C(=O)C3=CC=CC4=CC(=CC(=C43)C2=O)[N+](=O)[O-],1
C1CCN(CC1)C2=C(C=C(C=C2)C(=O)N)N3C(=O)CCC3=O,1
CCC1=C(N2C3=CC=CC=C3N=C2C(=C1C)C#N)NCC4=CC=CC=N4,1
CC1=C(C2=NC3=CC=CC=C3N2C(=C1)NC4=CC=CC=C4O)C#N,1
C1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC4=C(C=C3)OCO4,1
CC(=O)NC(=S)NC1=C(C=CC(=C1)C(F)(F)F)N2CCCCC2,1
CC1CCN(CC1)C2=CC=CC=C2NC(=O)C3=CC=CC=C3[N+](=O)[O-],1
CC1CCN(CC1)C2=CC=CC=C2NC(=O)C3=CC(=CC=C3)[N+](=O)[O-],1
CC1=NN(C(=O)C2=CC=CC=C12)C3=C(C=CC(=C3)N4CCCCC4)N,1
C1CCN(CC1)C2=CC=C(C=C2)C=NN3C(=O)C4=CC=CC=C4C3=O,1
CC1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC(=CC=C3)[N+](=O)[O-],1
C1CCN(CC1)C2=CC=C(C=C2)/C=C(\C#N)/C(=O)NC3=CC=C(C=C3)F,1
C1CCN(CC1)C2=CC=C(C=C2)/C=C(/C#N)\C(=O)NC3=CC=C(C=C3)F,1
C1CCN(CC1)C2=CC=CC=C2NC(=O)C3=CC(=CC=C3)[N+](=O)[O-],1
C1CCN(CC1)C2=CC=C(C=C2)C=NNC(=O)C3=CC=C(C=C3)O,1
C1CCN(CC1)C2=CC=C(C=C2)C=C(C#N)C3=CC(=CC=C3)[N+](=O)[O-],1
C1CCN(CC1)C2=CC=C(C=C2)/C=C(\C#N)/C3=CC(=CC=C3)[N+](=O)[O-],1
CC1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=C(C=C2)N3CCCCC3,1
CC1=C(C2=NC3=CC=CC=C3N2C(=C1)NC4=CC=C(C=C4)NC(=O)C)C#N,1
C1CCN(CC1)C2=CC=C(C=C2)NS(=O)(=O)C3=CC=CC4=C3N=CC=C4,1
C1CCN(CC1)C2=CC=C(C=C2)N3C(=C(C4=NC5=CC=CC=C5N=C43)C#N)N,1
CCOC1=CC=C(C=C1)N2C(=O)C[C@@H](C2=O)NC3=CC=C(C=C3)N4CCCCC4,1
COC1=CC=C(C=C1)N2C(=O)C[C@@H](C2=O)NC3=CC=C(C=C3)N4CCCCC4,1
